image	w	h	family
/mnt/v/output/rd-gap-train26-2026-07-02/1236_interiors_ornate-arched-interior_casa-vicens-barcelona_zfold7_iso400-f2p2_20260319-165702_4000x3000.sdr.s1024.png	768	1024	1200
/mnt/v/output/rd-gap-train26-2026-07-02/1438_nature_orange-flowers-closeup_kyoto-botanical-garden-kyoto_s23u_iso200-f4p9_20231107-143950_4000x3000.sdr.s1024.png	768	1024	1400
/mnt/v/output/rd-gap-train26-2026-07-02/1614_food_dessert-plate-upside-down_valladolid-mexico_s23u_iso640-f1p7_20230917-213342_4000x3000.sdr.s1024.png	1024	768	1600
/mnt/v/output/rd-gap-train26-2026-07-02/5004_nps_blca-black-canyon-2023_color_p02_7016x4961.sdr.s1024.png	1024	724	5000
/mnt/v/output/rd-gap-train26-2026-07-02/5048_nps_romo-2018-longs-peak-keyhole-route_gray_p01_2550x4200.sdr.s1024.png	622	1024	5000
/mnt/v/output/rd-gap-train26-2026-07-02/6018_scans-patents_lynn-conway-us5046022-1bit_p019_2320x3408.sdr.s1024.png	697	1024	6000
/mnt/v/output/rd-gap-train26-2026-07-02/6606_scans-illustrations_haeckel-red-algae_plate0065_5015x7275.sdr.s1024.png	706	1024	6600
/mnt/v/output/rd-gap-train26-2026-07-02/7058_plots_line-tiling-00248-s7c5ddcfb_1024x1024.sdr.s1024.png	1024	1024	7000
/mnt/v/output/rd-gap-train26-2026-07-02/8196_web-screenshots_nps-grand-canyon_dpr1_page1_1920x1080.sdr.s1024.png	1024	576	8100
/mnt/v/output/rd-gap-train26-2026-07-02/8268_web-screenshots_weather-forecast-nyc_dpr2_page1_2880x1800.sdr.s1024.png	1024	640	8100
/mnt/v/output/rd-gap-train26-2026-07-02/8414_web-screenshots_lkml-lists-index_dpr1_page1_1280x800.sdr.s1024.png	1024	640	8100
/mnt/v/output/rd-gap-train26-2026-07-02/9100_gen_illustrations_bath-candles-evening_1024x1536.sdr.s1024.png	683	1024	9094
/mnt/v/output/rd-gap-train26-2026-07-02/9118_gen_illustrations_farmers-market-stall_1536x1024.sdr.s1024.png	1024	683	9094
